nWavelengths,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short,,wave,1, Angstroms,1,2,4,8,16,23,32,50,100,150,200,256.3,284.15,250,303.31,303.78,300,368.07,350,400,465.22,450,500,554.37,584.33,550,609.76,629.73,600,650,703.36,700,765.15,770.41,789.36,750,800,850,900,977.02,950,1025.72,1031.91,1000,1050,1100,1150,1215.67,1200,1250,1300,1350,1400,1450,1500,1550,1600,1650,1700, No Comments
Long,,wave,1, Angstroms,2,4,8,16,23,32,50,100,150,200,250,256.3,284.15,300,303.31,303.78,350,368.07,400,450,465.22,500,550,554.37,584.33,600,609.76,629.73,650,700,703.36,750,765.15,770.41,789.36,800,850,900,950,977.02,1000,1025.72,1031.91,1050,1100,1150,1200,1215.67,1250,1300,1350,1400,1450,1500,1550,1600,1650,1700,1750, No Comments
F74113, , ,1.00E+09,cm-2s-1,0,0,0,0,0,0,0,1.2,0.45,4.8,3.1,0.46,0.21,1.679,0.8,6.9,0.965,0.65,0.314,0.383,0.29,0.285,0.452,0.72,1.27,0.357,0.53,1.59,0.342,0.23,0.36,0.141,0.17,0.26,0.702,0.758,1.625,3.537,3,4.4,1.475,3.5,2.1,2.467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, No Comments
AFAC, , ,1, ,0,0,0,0,0,0,0,1.00E-02,7.13E-03,1.34E-02,1.95E-02,2.78E-03,1.38E-01,2.65E-02,2.50E-02,3.33E-03,2.25E-02,6.59E-03,3.65E-02,7.41E-03,7.49E-03,2.02E-02,8.76E-03,3.27E-03,5.16E-03,3.66E-03,1.62E-02,3.33E-03,1.18E-02,4.27E-03,3.04E-03,4.75E-03,3.85E-03,1.28E-02,3.28E-03,4.77E-03,4.82E-03,5.68E-03,4.98E-03,3.94E-03,4.42E-03,5.18E-03,5.28E-03,4.38E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, No Comments
N2,N2,abs,1.00E-22, m2,0.0003,0.003,0.015,0.09,0.48,1.16,0.24,0.72,2.261,4.958,8.392,10.21,10.9,10.493,11.67,11.7,13.857,16.91,16.395,21.675,23.16,23.471,24.501,24.13,22.4,22.787,22.79,23.37,23.339,31.755,26.54,24.662,120.49,14.18,16.487,33.578,16.992,20.249,9.68,2.24,50.988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, No Comments
N2,N2+,ion,1.00E-22, m2,0.0003,0.003,0.015,0.09,0.48,1.16,0.24,0.443,1.479,3.153,5.226,6.781,8.1,7.347,9.18,9.21,11.6,15.35,14.669,20.692,22.1,22.772,24.468,24.13,22.4,22.787,22.79,23.37,23.339,29.235,25.48,15.06,65.8,8.5,8.86,14.274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, No Comments
O2,O2,abs,1.00E-22, m2,0.0004,0.004,0.024,0.14,1.02,0.1,0.32,1.18,4,7.1,10.6,13.2,15.7,15.1,16.8,16.8,17.19,18.4,18.17,19.39,20.4,21.59,24.06,25.59,22,25.04,26.1,30.07,26.02,26.27,25,29.05,21.96,25.18,26.66,27.09,20.87,9.85,15.54,15.54,16.53,1.6,1,1.1,1,0.1,0.3,0.01,3,0.3,2.2,12,15,13,10,6,3.4,1.5,0.5, No Comments
O2,O2+,ion,1.00E-22, m2,0.0004,0.004,0.024,0.14,1.02,0.1,0.32,1.316,4,7.1,10.6,13.2,15.7,15.1,16.8,16.8,17.19,18.4,18.17,19.39,20.4,21.59,24.06,25.59,22,25.04,26.1,30.07,26.02,26.27,23.75,23.805,11.72,8.47,10.191,10.597,6.413,5.494,9.374,15.54,13.94,1.05,0,0.259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, No Comments
O,O,abs,1.00E-22, m2,0.0002,0.002,0.012,0.07,0.51,0.05,0.16,0.73,1.839,3.732,5.202,6.05,7.08,6.461,7.68,7.7,8.693,9.84,9.687,11.496,11.93,12.127,12.059,12.59,13.09,13.024,13.4,13.4,13.365,17.245,11.46,10.736,4,3.89,3.749,5.091,3.498,4.554,1.315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Last 5 are questionable
O,O+,ion,1.00E-22, m2,0.0002,0.002,0.012,0.07,0.51,0.05,0.16,0.73,1.839,3.732,5.202,6.05,7.08,6.461,7.68,7.7,8.693,9.84,9.687,11.496,11.93,12.127,12.059,12.59,13.09,13.024,13.4,13.4,13.365,17.245,11.46,10.736,4,3.89,3.749,5.091,3.498,4.554,1.315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Last 5 are questionable
N,N,abs,1.00E-22, m2,0,0,0.1,0.5,1,1,1,0.331,0.996,2.49,3.946,4.874,5.725,5.244,6.399,6.413,7.298,8.302,8.15,9.556,10.578,11.016,11.503,11.772,11.778,11.758,11.798,11.212,11.951,12.423,13.265,12.098,11.323,11.244,10.961,11.171,10.294,0.211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Last 5 are questionable
N,N+,ion,1.00E-22, m2,0,0,0.1,0.5,1,1,1,0.286,0.878,2.3,3.778,4.787,5.725,5.192,6.399,6.413,7.298,8.302,8.15,9.556,10.578,11.016,11.503,11.772,11.778,11.758,11.798,11.212,11.951,12.423,13.265,12.098,11.323,11.244,10.961,11.171,10.294,0.211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Last 5 are questionable
He,He,abs,1.00E-22, m2,0,0,0,0,0,0,0,0.144,0.479,1.157,1.601,2.121,2.595,2.321,2.953,2.962,3.544,4.268,4.142,5.447,6.563,7.208,0.958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, No Comments
He,He+,ion,1.00E-22, m2,0,0,0,0,0,0,0,0.144,0.479,1.157,1.601,2.121,2.595,2.321,2.953,2.962,3.544,4.268,4.142,5.447,6.563,7.208,0.958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, No Comments
CO2,CO2,abs,1.00E-22, m2,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,4.616,9.089,14.361,16.505,19.016,17.518,21.492,21.594,23.574,25.269,24.871,28.271,29.526,30.254,31.491,33.202,34.2,34.913,35.303,34.3,34.447,33.699,23.518,32.832,93.839,61.939,26.493,39.831,13.98,44.673,52.081,42.869,50.311,15.1,14.2,18.241,17.4,40.8,0.882,0.0496,0.081,0.373,0.739,0.607,0.524,0.544,0.431,0.258,0.126,0.048,0.016,Added by BP
CO,CO,abs,1.00E-22, m2,0.004,0.004,0.004,0.417,0.417,0.417,0.417,0.866,2.391,4.671,7.011,8.614,10.541,9.424,11.867,11.9,13.441,15.259,14.956,17.956,20.173,20.574,21.085,21.624,22,21.91,22.1,22.025,21.915,21.036,23.853,25.501,26.276,15.262,33.132,20.535,22.608,36.976,50.318,28.5,52.827,1.388,1.388,8.568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Added by BP
CO2,CO2+,ion,1.00E-22, m2,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,4.616,9.089,14.32,16.114,18.602,17.14,21.387,21.435,23.629,25.557,25.518,27.172,28.755,30.578,32.595,33.211,33.858,34.959,35.303,34.3,34.573,32.295,20.856,27.49,86.317,51.765,21.676,34.094,10.93,7.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Added by BP
CO,CO+,ion,1.00E-22, m2,0.004,0.004,0.004,0.417,0.417,0.417,0.417,0.866,2.391,4.671,7.011,8.614,10.541,9.424,11.867,11.9,13.441,15.259,14.956,17.956,20.173,20.574,21.085,21.624,22,21.895,21.918,22.025,21.845,20.097,22.115,21.084,13.033,9.884,17.35,11.375,17.559,11.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Added by BP